series_id,industry_code,industry_name,supersector_code,seasonal_code,datatype_code,metric,year,period,period_name,value,footnote_codes,ingested_at
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2021,M02,February,121626.0,,2026-08-25 14:48:41.372731
CES0500000001,05000000,Total private,05,S,01,all_employees_thousands,2021,M01,January,121122.0,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2026,M07,July,34.3,P,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2026,M06,June,34.3,P,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2026,M05,May,34.3,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2026,M04,April,34.3,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2026,M03,March,34.2,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2026,M02,February,34.3,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2026,M01,January,34.3,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2025,M12,December,34.2,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2025,M11,November,34.3,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2025,M10,October,34.2,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2025,M09,September,34.2,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2025,M08,August,34.2,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2025,M07,July,34.2,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2025,M06,June,34.2,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2025,M05,May,34.2,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2025,M04,April,34.3,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2025,M03,March,34.2,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2025,M02,February,34.2,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2025,M01,January,34.1,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2024,M12,December,34.3,,2026-08-25 14:48:41.372731
CES0500000002,05000000,Total private,05,S,02,avg_weekly_hours,2024,M11,November,34.3,,2026-08-25 14:48:41.372731
