series_id,area_code,area_name,area_type,occupation_code,occupation_title,datatype_code,metric,year,period,value,footnote_codes,ingested_at
OEUM003562000000015125213,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151252,Software Developers,13,annual_median_wage,2025,A01,166830.0,,2026-08-25 13:40:00.180732
OEUM003562000000015125203,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151252,Software Developers,03,hourly_mean_wage,2025,A01,79.75,,2026-08-25 13:40:00.180732
OEUM003562000000015125208,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151252,Software Developers,08,hourly_median_wage,2025,A01,80.21,,2026-08-25 13:40:00.180732
OEUM003562000000015125401,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151254,Web Developers,01,employment,2025,A01,4200.0,,2026-08-25 13:40:00.180732
OEUM003562000000015125404,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151254,Web Developers,04,annual_mean_wage,2025,A01,109450.0,,2026-08-25 13:40:00.180732
OEUM003562000000015125413,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151254,Web Developers,13,annual_median_wage,2025,A01,104820.0,,2026-08-25 13:40:00.180732
OEUM003562000000015125403,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151254,Web Developers,03,hourly_mean_wage,2025,A01,52.62,,2026-08-25 13:40:00.180732
OEUM003562000000015125408,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151254,Web Developers,08,hourly_median_wage,2025,A01,50.39,,2026-08-25 13:40:00.180732
OEUM003562000000015121101,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151211,Computer Systems Analysts,01,employment,2025,A01,26540.0,,2026-08-25 13:40:00.180732
OEUM003562000000015121104,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151211,Computer Systems Analysts,04,annual_mean_wage,2025,A01,129150.0,,2026-08-25 13:40:00.180732
OEUM003562000000015121113,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151211,Computer Systems Analysts,13,annual_median_wage,2025,A01,128340.0,,2026-08-25 13:40:00.180732
OEUM003562000000015121103,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151211,Computer Systems Analysts,03,hourly_mean_wage,2025,A01,62.09,,2026-08-25 13:40:00.180732
OEUM003562000000015121108,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,151211,Computer Systems Analysts,08,hourly_median_wage,2025,A01,61.7,,2026-08-25 13:40:00.180732
OEUM003562000000011202101,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,112021,Marketing Managers,01,employment,2025,A01,54730.0,,2026-08-25 13:40:00.180732
OEUM003562000000011202104,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,112021,Marketing Managers,04,annual_mean_wage,2025,A01,207770.0,,2026-08-25 13:40:00.180732
OEUM003562000000011202113,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,112021,Marketing Managers,13,annual_median_wage,2025,A01,192840.0,,2026-08-25 13:40:00.180732
OEUM003562000000011202103,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,112021,Marketing Managers,03,hourly_mean_wage,2025,A01,99.89,,2026-08-25 13:40:00.180732
OEUM003562000000011202108,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,112021,Marketing Managers,08,hourly_median_wage,2025,A01,92.71,,2026-08-25 13:40:00.180732
OEUM003562000000013111101,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,131111,Management Analysts,01,employment,2025,A01,67630.0,,2026-08-25 13:40:00.180732
OEUM003562000000013111104,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,131111,Management Analysts,04,annual_mean_wage,2025,A01,133590.0,,2026-08-25 13:40:00.180732
OEUM003562000000013111113,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,131111,Management Analysts,13,annual_median_wage,2025,A01,124390.0,,2026-08-25 13:40:00.180732
OEUM003562000000013111103,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,131111,Management Analysts,03,hourly_mean_wage,2025,A01,64.23,,2026-08-25 13:40:00.180732
OEUM003562000000013111108,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,131111,Management Analysts,08,hourly_median_wage,2025,A01,59.81,,2026-08-25 13:40:00.180732
OEUM003562000000029206101,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,292061,Licensed Practical and Licensed Vocational Nurses,01,employment,2025,A01,32410.0,,2026-08-25 13:40:00.180732
OEUM003562000000029206104,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,292061,Licensed Practical and Licensed Vocational Nurses,04,annual_mean_wage,2025,A01,75020.0,,2026-08-25 13:40:00.180732
OEUM003562000000029206113,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,292061,Licensed Practical and Licensed Vocational Nurses,13,annual_median_wage,2025,A01,75910.0,,2026-08-25 13:40:00.180732
OEUM003562000000029206103,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,292061,Licensed Practical and Licensed Vocational Nurses,03,hourly_mean_wage,2025,A01,36.07,,2026-08-25 13:40:00.180732
OEUM003562000000029206108,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,292061,Licensed Practical and Licensed Vocational Nurses,08,hourly_median_wage,2025,A01,36.5,,2026-08-25 13:40:00.180732
OEUM003562000000025119401,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,251194,"Career/Technical Education Teachers, Postsecondary",01,employment,2025,A01,4820.0,,2026-08-25 13:40:00.180732
OEUM003562000000025119404,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,251194,"Career/Technical Education Teachers, Postsecondary",04,annual_mean_wage,2025,A01,83210.0,,2026-08-25 13:40:00.180732
OEUM003562000000025119413,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,251194,"Career/Technical Education Teachers, Postsecondary",13,annual_median_wage,2025,A01,78540.0,,2026-08-25 13:40:00.180732
OEUM003562000000025119403,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,251194,"Career/Technical Education Teachers, Postsecondary",03,hourly_mean_wage,2025,A01,40.0,,2026-08-25 13:40:00.180732
OEUM003562000000025119408,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,251194,"Career/Technical Education Teachers, Postsecondary",08,hourly_median_wage,2025,A01,37.76,,2026-08-25 13:40:00.180732
OEUM003562000000041302101,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,413021,Insurance Sales Agents,01,employment,2025,A01,21280.0,,2026-08-25 13:40:00.180732
OEUM003562000000041302104,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,413021,Insurance Sales Agents,04,annual_mean_wage,2025,A01,107190.0,,2026-08-25 13:40:00.180732
OEUM003562000000041302113,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,413021,Insurance Sales Agents,13,annual_median_wage,2025,A01,80620.0,,2026-08-25 13:40:00.180732
OEUM003562000000041302103,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,413021,Insurance Sales Agents,03,hourly_mean_wage,2025,A01,51.54,,2026-08-25 13:40:00.180732
OEUM003562000000041302108,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,413021,Insurance Sales Agents,08,hourly_median_wage,2025,A01,38.76,,2026-08-25 13:40:00.180732
OEUM003562000000043601401,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,436014,Secretaries and Administrative Assistants,01,employment,2025,A01,122680.0,,2026-08-25 13:40:00.180732
OEUM003562000000043601404,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,436014,Secretaries and Administrative Assistants,04,annual_mean_wage,2025,A01,53310.0,,2026-08-25 13:40:00.180732
OEUM003562000000043601413,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,436014,Secretaries and Administrative Assistants,13,annual_median_wage,2025,A01,51440.0,,2026-08-25 13:40:00.180732
OEUM003562000000043601403,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,436014,Secretaries and Administrative Assistants,03,hourly_mean_wage,2025,A01,25.63,,2026-08-25 13:40:00.180732
OEUM003562000000043601408,35620,"New York-Newark-Jersey City, NY-NJ-PA",M,436014,Secretaries and Administrative Assistants,08,hourly_median_wage,2025,A01,24.73,,2026-08-25 13:40:00.180732
OEUM003108000000000000001,31080,"Los Angeles-Long Beach-Anaheim, CA",M,000000,All occupations,01,employment,2025,A01,6271560.0,,2026-08-25 13:40:00.180732
OEUM003108000000000000004,31080,"Los Angeles-Long Beach-Anaheim, CA",M,000000,All occupations,04,annual_mean_wage,2025,A01,77270.0,,2026-08-25 13:40:00.180732
OEUM003108000000000000013,31080,"Los Angeles-Long Beach-Anaheim, CA",M,000000,All occupations,13,annual_median_wage,2025,A01,55850.0,,2026-08-25 13:40:00.180732
OEUM003108000000000000003,31080,"Los Angeles-Long Beach-Anaheim, CA",M,000000,All occupations,03,hourly_mean_wage,2025,A01,37.15,,2026-08-25 13:40:00.180732
OEUM003108000000000000008,31080,"Los Angeles-Long Beach-Anaheim, CA",M,000000,All occupations,08,hourly_median_wage,2025,A01,26.85,,2026-08-25 13:40:00.180732
OEUM003108000000015125201,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151252,Software Developers,01,employment,2025,A01,55540.0,,2026-08-25 13:40:00.180732
OEUM003108000000015125204,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151252,Software Developers,04,annual_mean_wage,2025,A01,161900.0,,2026-08-25 13:40:00.180732
OEUM003108000000015125213,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151252,Software Developers,13,annual_median_wage,2025,A01,160920.0,,2026-08-25 13:40:00.180732
OEUM003108000000015125203,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151252,Software Developers,03,hourly_mean_wage,2025,A01,77.84,,2026-08-25 13:40:00.180732
OEUM003108000000015125208,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151252,Software Developers,08,hourly_median_wage,2025,A01,77.37,,2026-08-25 13:40:00.180732
OEUM003108000000015125401,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151254,Web Developers,01,employment,2025,A01,2310.0,,2026-08-25 13:40:00.180732
OEUM003108000000015125404,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151254,Web Developers,04,annual_mean_wage,2025,A01,112710.0,,2026-08-25 13:40:00.180732
OEUM003108000000015125413,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151254,Web Developers,13,annual_median_wage,2025,A01,107290.0,,2026-08-25 13:40:00.180732
OEUM003108000000015125403,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151254,Web Developers,03,hourly_mean_wage,2025,A01,54.19,,2026-08-25 13:40:00.180732
OEUM003108000000015125408,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151254,Web Developers,08,hourly_median_wage,2025,A01,51.58,,2026-08-25 13:40:00.180732
OEUM003108000000015121101,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151211,Computer Systems Analysts,01,employment,2025,A01,16900.0,,2026-08-25 13:40:00.180732
OEUM003108000000015121104,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151211,Computer Systems Analysts,04,annual_mean_wage,2025,A01,122800.0,,2026-08-25 13:40:00.180732
OEUM003108000000015121113,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151211,Computer Systems Analysts,13,annual_median_wage,2025,A01,121560.0,,2026-08-25 13:40:00.180732
OEUM003108000000015121103,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151211,Computer Systems Analysts,03,hourly_mean_wage,2025,A01,59.04,,2026-08-25 13:40:00.180732
OEUM003108000000015121108,31080,"Los Angeles-Long Beach-Anaheim, CA",M,151211,Computer Systems Analysts,08,hourly_median_wage,2025,A01,58.44,,2026-08-25 13:40:00.180732
OEUM003108000000011202101,31080,"Los Angeles-Long Beach-Anaheim, CA",M,112021,Marketing Managers,01,employment,2025,A01,18550.0,,2026-08-25 13:40:00.180732
OEUM003108000000011202104,31080,"Los Angeles-Long Beach-Anaheim, CA",M,112021,Marketing Managers,04,annual_mean_wage,2025,A01,193390.0,,2026-08-25 13:40:00.180732
