area,area_title,occ_code,occ_title,o_group,tot_emp,a_mean,a_median,a_pct10,a_pct25,a_pct75,a_pct90,year
99,U.S.,15-2021,Mathematicians,detailed,2630.0,107280.0,105030.0,58100.0,76170.0,127860.0,162060.0,2019
99,U.S.,15-2031,Operations Research Analysts,detailed,99680.0,90600.0,84810.0,48670.0,62780.0,112680.0,140790.0,2019
99,U.S.,15-2041,Statisticians,detailed,39090.0,95680.0,91160.0,52690.0,68480.0,118790.0,146770.0,2019
99,U.S.,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,30810.0,100560.0,94280.0,52720.0,70090.0,125140.0,158060.0,2019
99,U.S.,17-1011,"Architects, Except Landscape and Naval",detailed,105850.0,89560.0,80750.0,48700.0,62600.0,105600.0,137620.0,2019
99,U.S.,17-1012,Landscape Architects,detailed,20280.0,73970.0,69360.0,42320.0,54600.0,90090.0,112290.0,2019
99,U.S.,17-1021,Cartographers and Photogrammetrists,detailed,11300.0,69790.0,65470.0,41670.0,52340.0,85050.0,103380.0,2019
99,U.S.,17-1022,Surveyors,detailed,45220.0,67920.0,63420.0,36110.0,47750.0,84120.0,104850.0,2019
99,U.S.,17-2011,Aerospace Engineers,detailed,63200.0,119220.0,116500.0,72450.0,91240.0,145530.0,166620.0,2019
99,U.S.,17-2021,Agricultural Engineers,detailed,1550.0,98290.0,80720.0,47330.0,61140.0,103210.0,160950.0,2019
99,U.S.,17-2031,Bioengineers and Biomedical Engineers,detailed,19780.0,97090.0,91410.0,55280.0,70990.0,118020.0,148210.0,2019
99,U.S.,17-2041,Chemical Engineers,detailed,30120.0,117090.0,108770.0,66810.0,84720.0,137860.0,176090.0,2019
99,U.S.,17-2051,Civil Engineers,detailed,310850.0,94360.0,87060.0,55380.0,68130.0,113580.0,144560.0,2019
99,U.S.,17-2061,Computer Hardware Engineers,detailed,67880.0,123030.0,117220.0,68460.0,88800.0,150840.0,185240.0,2019
99,U.S.,17-2071,Electrical Engineers,detailed,185570.0,103480.0,98530.0,63020.0,77080.0,125520.0,155880.0,2019
99,U.S.,17-2072,"Electronics Engineers, Except Computer",detailed,128800.0,110210.0,105570.0,66620.0,82420.0,133050.0,164210.0,2019
99,U.S.,17-2081,Environmental Engineers,detailed,53150.0,94220.0,88860.0,54330.0,68000.0,114250.0,142070.0,2019
99,U.S.,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,25860.0,94810.0,91410.0,53650.0,68940.0,118440.0,143880.0,2019
99,U.S.,17-2112,Industrial Engineers,detailed,291710.0,92660.0,88020.0,57290.0,70540.0,110160.0,134070.0,2019
99,U.S.,17-2121,Marine Engineers and Naval Architects,detailed,11360.0,98730.0,92400.0,65440.0,75500.0,116770.0,147710.0,2019
99,U.S.,17-2131,Materials Engineers,detailed,26820.0,97890.0,93360.0,57340.0,72420.0,120180.0,148960.0,2019
99,U.S.,17-2141,Mechanical Engineers,detailed,306990.0,93540.0,88430.0,57130.0,70280.0,111980.0,138020.0,2019
99,U.S.,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,6280.0,96990.0,91160.0,52160.0,68240.0,120890.0,151230.0,2019
99,U.S.,17-2161,Nuclear Engineers,detailed,15850.0,120700.0,113460.0,71860.0,90170.0,138330.0,179430.0,2019
99,U.S.,17-2171,Petroleum Engineers,detailed,32620.0,156780.0,137720.0,79270.0,107020.0,193430.0,,2019
99,U.S.,17-2199,"Engineers, All Other",detailed,152340.0,102460.0,99040.0,53730.0,72180.0,128780.0,158830.0,2019
99,U.S.,17-3011,Architectural and Civil Drafters,detailed,98800.0,58080.0,56340.0,35890.0,44920.0,69050.0,82230.0,2019
99,U.S.,17-3012,Electrical and Electronics Drafters,detailed,24140.0,65720.0,61530.0,37770.0,47880.0,79100.0,100650.0,2019
99,U.S.,17-3013,Mechanical Drafters,detailed,55210.0,60500.0,57060.0,36350.0,45050.0,72460.0,92010.0,2019
99,U.S.,17-3019,"Drafters, All Other",detailed,14600.0,54840.0,52830.0,33450.0,40530.0,64590.0,80430.0,2019
99,U.S.,17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,11540.0,68340.0,66020.0,41680.0,52130.0,80520.0,99970.0,2019
99,U.S.,17-3022,Civil Engineering Technologists and Technicians,detailed,68870.0,55480.0,53410.0,33880.0,40590.0,67070.0,80650.0,2019
99,U.S.,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,122550.0,66240.0,65260.0,39190.0,50790.0,78910.0,96690.0,2019
99,U.S.,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,14290.0,61420.0,58350.0,36520.0,45390.0,74600.0,93450.0,2019
